id,product_id,stock_quantity,reorder_threshold,warehouse_location,created_at,updated_at
108,108,501,100,Zone A (Main),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
109,109,26,15,Zone C (Secure),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
110,110,339,100,Zone B (High-Bay),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
111,111,173,50,Zone B (High-Bay),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
112,112,26,15,Zone A (Main),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
113,113,57,50,Zone B (High-Bay),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
114,114,123,25,Zone C (Secure),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
115,115,75,15,Zone A (Main),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
116,116,77,15,Zone A (Main),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
117,117,144,25,Zone A (Main),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
118,118,116,25,Zone D (Bulk Pallets),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
119,119,323,100,Zone B (High-Bay),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
120,120,52,15,Zone A (Main),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
121,121,4,10,Zone A (Main),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
122,122,536,100,Zone C (Secure),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
123,123,50,50,Zone C (Secure),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
124,124,22,10,Zone D (Bulk Pallets),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
125,125,143,50,Zone B (High-Bay),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
126,126,402,100,Zone B (High-Bay),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
127,127,44,10,Zone D (Bulk Pallets),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
128,128,145,25,Zone C (Secure),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
129,129,73,15,Zone B (High-Bay),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
130,130,482,100,Zone A (Main),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
131,131,357,100,Zone A (Main),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
132,132,115,25,Zone D (Bulk Pallets),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
133,133,63,15,Zone A (Main),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
134,134,116,25,Zone B (High-Bay),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
135,135,21,15,Zone B (High-Bay),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
136,136,126,50,Zone B (High-Bay),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
137,137,31,10,Zone D (Bulk Pallets),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
138,138,243,50,Zone D (Bulk Pallets),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
139,139,47,50,Zone C (Secure),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
140,140,49,25,Zone D (Bulk Pallets),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
141,141,58,10,Zone A (Main),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
142,142,45,25,Zone B (High-Bay),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
143,143,124,50,Zone B (High-Bay),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
144,144,40,15,Zone A (Main),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
145,145,98,25,Zone A (Main),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
146,146,69,15,Zone B (High-Bay),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
147,147,8,10,Zone B (High-Bay),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
148,148,9,10,Zone C (Secure),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
149,149,176,100,Zone D (Bulk Pallets),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
150,150,0,15,Zone B (High-Bay),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
