id,transaction_number,customer_id,transaction_date,status,subtotal,discount_amount,tax_amount,total_amount,created_at,updated_at
11,TXN-202512-000011,620,2025-12-03 00:00:00+00:00,completed,52.88,2.64,3.77,54.01,2025-12-03 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
12,TXN-202512-000012,80,2025-12-17 00:00:00+00:00,completed,140.13,0.00,10.51,150.64,2025-12-17 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
13,TXN-202609-000013,342,2026-09-10 00:00:00+00:00,completed,481.04,0.00,36.08,517.12,2026-09-10 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
14,TXN-202510-000014,948,2025-10-13 00:00:00+00:00,completed,1000.41,0.00,75.03,1075.44,2025-10-13 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
15,TXN-202606-000015,175,2026-06-19 00:00:00+00:00,completed,6788.90,0.00,509.17,7298.07,2026-06-19 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
16,TXN-202606-000016,743,2026-06-22 00:00:00+00:00,refunded,2189.05,0.00,164.18,2353.23,2026-06-22 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
17,TXN-202608-000017,417,2026-08-18 00:00:00+00:00,completed,481.04,0.00,36.08,517.12,2026-08-18 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
18,TXN-202608-000018,59,2026-08-14 00:00:00+00:00,completed,7824.70,0.00,586.85,8411.55,2026-08-14 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
19,TXN-202609-000019,933,2026-09-14 00:00:00+00:00,completed,918.20,0.00,68.86,987.06,2026-09-14 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
20,TXN-202608-000020,953,2026-08-31 00:00:00+00:00,refunded,147.94,0.00,11.10,159.04,2026-08-31 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
21,TXN-202607-000021,433,2026-07-21 00:00:00+00:00,completed,477.98,0.00,35.85,513.83,2026-07-21 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
22,TXN-202604-000022,219,2026-04-09 00:00:00+00:00,completed,218.14,0.00,16.36,234.50,2026-04-09 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
23,TXN-202607-000023,59,2026-07-10 00:00:00+00:00,completed,7402.62,0.00,555.20,7957.82,2026-07-10 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
24,TXN-202601-000024,158,2026-01-30 00:00:00+00:00,completed,42834.44,2141.72,3051.95,43744.67,2026-01-30 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
25,TXN-202604-000025,762,2026-04-14 00:00:00+00:00,completed,158.48,0.00,11.89,170.37,2026-04-14 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
26,TXN-202607-000026,864,2026-07-02 00:00:00+00:00,completed,113.79,0.00,8.53,122.32,2026-07-02 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
27,TXN-202512-000027,243,2025-12-21 00:00:00+00:00,completed,2018.12,0.00,151.36,2169.48,2025-12-21 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
28,TXN-202511-000028,288,2025-11-01 00:00:00+00:00,completed,328.30,0.00,24.62,352.92,2025-11-01 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
29,TXN-202507-000029,650,2025-07-23 00:00:00+00:00,completed,1653.92,0.00,124.04,1777.96,2025-07-23 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
30,TXN-202602-000030,390,2026-02-23 00:00:00+00:00,completed,28503.08,1425.15,2030.84,29108.77,2026-02-23 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
31,TXN-202606-000031,763,2026-06-07 00:00:00+00:00,completed,4014.50,0.00,301.09,4315.59,2026-06-07 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
32,TXN-202604-000032,134,2026-04-02 00:00:00+00:00,completed,210.69,0.00,15.80,226.49,2026-04-02 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
33,TXN-202512-000033,909,2025-12-11 00:00:00+00:00,completed,819.54,0.00,61.47,881.01,2025-12-11 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
34,TXN-202609-000034,560,2026-09-24 00:00:00+00:00,completed,324.36,0.00,24.33,348.69,2026-09-24 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
35,TXN-202608-000035,899,2026-08-12 00:00:00+00:00,completed,109.34,0.00,8.20,117.54,2026-08-12 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
36,TXN-202603-000036,976,2026-03-18 00:00:00+00:00,completed,32151.06,0.00,2411.33,34562.39,2026-03-18 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
37,TXN-202605-000037,411,2026-05-08 00:00:00+00:00,completed,27.64,0.00,2.07,29.71,2026-05-08 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
38,TXN-202606-000038,467,2026-06-07 00:00:00+00:00,completed,100.68,0.00,7.55,108.23,2026-06-07 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
39,TXN-202511-000039,244,2025-11-03 00:00:00+00:00,completed,201.36,0.00,15.10,216.46,2025-11-03 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
40,TXN-202604-000040,658,2026-04-16 00:00:00+00:00,refunded,740.31,0.00,55.52,795.83,2026-04-16 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
41,TXN-202606-000041,906,2026-06-03 00:00:00+00:00,completed,3468.40,0.00,260.13,3728.53,2026-06-03 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
42,TXN-202607-000042,962,2026-07-13 00:00:00+00:00,completed,351.38,0.00,26.35,377.73,2026-07-13 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
43,TXN-202602-000043,645,2026-02-24 00:00:00+00:00,completed,3930.06,0.00,294.75,4224.81,2026-02-24 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
44,TXN-202605-000044,181,2026-05-28 00:00:00+00:00,completed,6562.47,0.00,492.19,7054.66,2026-05-28 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
45,TXN-202509-000045,437,2025-09-15 00:00:00+00:00,completed,2905.92,0.00,217.94,3123.86,2025-09-15 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
46,TXN-202601-000046,45,2026-01-29 00:00:00+00:00,completed,83.76,0.00,6.28,90.04,2026-01-29 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
47,TXN-202603-000047,811,2026-03-05 00:00:00+00:00,completed,3084.77,0.00,231.36,3316.13,2026-03-05 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
48,TXN-202602-000048,709,2026-02-14 00:00:00+00:00,completed,707.98,35.40,50.44,723.02,2026-02-14 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
49,TXN-202607-000049,233,2026-07-31 00:00:00+00:00,completed,5297.65,0.00,397.32,5694.97,2026-07-31 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
50,TXN-202604-000050,105,2026-04-16 00:00:00+00:00,completed,1153.61,0.00,86.52,1240.13,2026-04-16 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
51,TXN-202512-000051,696,2025-12-15 00:00:00+00:00,completed,9995.00,0.00,749.62,10744.62,2025-12-15 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
52,TXN-202508-000052,808,2025-08-10 00:00:00+00:00,completed,58322.83,0.00,4374.21,62697.04,2025-08-10 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
53,TXN-202606-000053,252,2026-06-20 00:00:00+00:00,completed,5588.56,0.00,419.14,6007.70,2026-06-20 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
54,TXN-202511-000054,720,2025-11-27 00:00:00+00:00,refunded,191.73,0.00,14.38,206.11,2025-11-27 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
55,TXN-202509-000055,944,2025-09-03 00:00:00+00:00,completed,3035.07,0.00,227.63,3262.70,2025-09-03 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
56,TXN-202603-000056,765,2026-03-20 00:00:00+00:00,completed,15876.84,0.00,1190.76,17067.60,2026-03-20 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
57,TXN-202603-000057,13,2026-03-19 00:00:00+00:00,completed,113.79,0.00,8.53,122.32,2026-03-19 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
58,TXN-202506-000058,455,2025-06-05 00:00:00+00:00,completed,28206.32,0.00,2115.47,30321.79,2025-06-05 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
59,TXN-202511-000059,161,2025-11-18 00:00:00+00:00,completed,259.80,0.00,19.48,279.28,2025-11-18 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
60,TXN-202608-000060,573,2026-08-18 00:00:00+00:00,completed,1700.43,0.00,127.53,1827.96,2026-08-18 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
61,TXN-202601-000061,110,2026-01-26 00:00:00+00:00,completed,411.37,0.00,30.85,442.22,2026-01-26 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
62,TXN-202608-000062,584,2026-08-31 00:00:00+00:00,refunded,126.74,0.00,9.51,136.25,2026-08-31 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
63,TXN-202605-000063,513,2026-05-17 00:00:00+00:00,completed,38286.39,0.00,2871.48,41157.87,2026-05-17 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
64,TXN-202608-000064,670,2026-08-05 00:00:00+00:00,completed,215.88,0.00,16.19,232.07,2026-08-05 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
65,TXN-202511-000065,442,2025-11-06 00:00:00+00:00,completed,826.46,0.00,61.98,888.44,2025-11-06 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
66,TXN-202606-000066,892,2026-06-03 00:00:00+00:00,completed,134.82,0.00,10.11,144.93,2026-06-03 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
67,TXN-202607-000067,287,2026-07-13 00:00:00+00:00,pending,99.03,0.00,7.43,106.46,2026-07-13 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
68,TXN-202608-000068,782,2026-08-02 00:00:00+00:00,completed,12004.65,0.00,900.35,12905.00,2026-08-02 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
69,TXN-202604-000069,163,2026-04-23 00:00:00+00:00,completed,12470.94,0.00,935.32,13406.26,2026-04-23 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
70,TXN-202601-000070,787,2026-01-16 00:00:00+00:00,completed,396.93,0.00,29.77,426.70,2026-01-16 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
71,TXN-202509-000071,559,2025-09-18 00:00:00+00:00,completed,35507.31,0.00,2663.05,38170.36,2025-09-18 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
72,TXN-202608-000072,730,2026-08-11 00:00:00+00:00,completed,1026.88,0.00,77.02,1103.90,2026-08-11 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
73,TXN-202607-000073,204,2026-07-28 00:00:00+00:00,completed,461.46,23.07,32.88,471.27,2026-07-28 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
74,TXN-202605-000074,632,2026-05-17 00:00:00+00:00,completed,304.10,0.00,22.81,326.91,2026-05-17 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
75,TXN-202608-000075,994,2026-08-08 00:00:00+00:00,pending,130.51,0.00,9.79,140.30,2026-08-08 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
76,TXN-202609-000076,431,2026-09-02 00:00:00+00:00,completed,5247.39,0.00,393.55,5640.94,2026-09-02 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
77,TXN-202605-000077,717,2026-05-08 00:00:00+00:00,completed,206.40,0.00,15.48,221.88,2026-05-08 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
78,TXN-202602-000078,383,2026-02-06 00:00:00+00:00,completed,107.28,0.00,8.05,115.33,2026-02-06 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
79,TXN-202601-000079,961,2026-01-06 00:00:00+00:00,completed,6649.52,0.00,498.71,7148.23,2026-01-06 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
80,TXN-202608-000080,649,2026-08-16 00:00:00+00:00,completed,127.82,0.00,9.59,137.41,2026-08-16 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
81,TXN-202603-000081,391,2026-03-03 00:00:00+00:00,completed,2594.30,0.00,194.57,2788.87,2026-03-03 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
82,TXN-202601-000082,675,2026-01-11 00:00:00+00:00,completed,255.81,12.79,18.23,261.25,2026-01-11 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
83,TXN-202609-000083,861,2026-09-03 00:00:00+00:00,completed,560.42,0.00,42.03,602.45,2026-09-03 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
84,TXN-202609-000084,132,2026-09-12 00:00:00+00:00,completed,12073.21,0.00,905.49,12978.70,2026-09-12 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
85,TXN-202609-000085,591,2026-09-09 00:00:00+00:00,completed,7589.23,0.00,569.19,8158.42,2026-09-09 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
86,TXN-202510-000086,725,2025-10-29 00:00:00+00:00,completed,151.72,0.00,11.38,163.10,2025-10-29 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
87,TXN-202607-000087,192,2026-07-10 00:00:00+00:00,completed,9078.87,0.00,680.92,9759.79,2026-07-10 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
88,TXN-202607-000088,950,2026-07-22 00:00:00+00:00,completed,6.94,0.35,0.49,7.08,2026-07-22 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
89,TXN-202512-000089,935,2025-12-30 00:00:00+00:00,completed,93.76,0.00,7.03,100.79,2025-12-30 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
90,TXN-202601-000090,322,2026-01-08 00:00:00+00:00,completed,30.63,0.00,2.30,32.93,2026-01-08 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
91,TXN-202606-000091,356,2026-06-25 00:00:00+00:00,completed,1454.04,0.00,109.05,1563.09,2026-06-25 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
92,TXN-202512-000092,374,2025-12-14 00:00:00+00:00,completed,24043.29,0.00,1803.25,25846.54,2025-12-14 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
93,TXN-202605-000093,565,2026-05-29 00:00:00+00:00,completed,1301.24,0.00,97.59,1398.83,2026-05-29 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
94,TXN-202603-000094,288,2026-03-24 00:00:00+00:00,completed,267.30,0.00,20.05,287.35,2026-03-24 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
95,TXN-202604-000095,622,2026-04-07 00:00:00+00:00,completed,11699.56,0.00,877.47,12577.03,2026-04-07 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
96,TXN-202608-000096,673,2026-08-21 00:00:00+00:00,completed,1555.22,77.76,110.81,1588.27,2026-08-21 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
97,TXN-202604-000097,218,2026-04-26 00:00:00+00:00,completed,902.05,0.00,67.65,969.70,2026-04-26 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
98,TXN-202607-000098,202,2026-07-30 00:00:00+00:00,completed,113.79,0.00,8.53,122.32,2026-07-30 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
99,TXN-202604-000099,22,2026-04-06 00:00:00+00:00,completed,269.96,0.00,20.25,290.21,2026-04-06 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
100,TXN-202605-000100,482,2026-05-07 00:00:00+00:00,pending,223.73,0.00,16.78,240.51,2026-05-07 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
101,TXN-202609-000101,506,2026-09-14 00:00:00+00:00,completed,16315.35,815.77,1162.47,16662.05,2026-09-14 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
102,TXN-202606-000102,271,2026-06-12 00:00:00+00:00,completed,78.65,0.00,5.90,84.55,2026-06-12 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
103,TXN-202609-000103,772,2026-09-14 00:00:00+00:00,completed,905.15,0.00,67.89,973.04,2026-09-14 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
104,TXN-202512-000104,362,2025-12-02 00:00:00+00:00,completed,682.94,0.00,51.22,734.16,2025-12-02 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
105,TXN-202604-000105,500,2026-04-08 00:00:00+00:00,completed,1077.08,0.00,80.78,1157.86,2026-04-08 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
106,TXN-202512-000106,526,2025-12-19 00:00:00+00:00,completed,4870.29,0.00,365.27,5235.56,2025-12-19 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
107,TXN-202604-000107,763,2026-04-14 00:00:00+00:00,completed,7877.97,0.00,590.85,8468.82,2026-04-14 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
108,TXN-202604-000108,521,2026-04-02 00:00:00+00:00,completed,1015.72,0.00,76.18,1091.90,2026-04-02 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
109,TXN-202606-000109,609,2026-06-24 00:00:00+00:00,completed,9035.77,451.79,643.80,9227.78,2026-06-24 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
110,TXN-202604-000110,232,2026-04-12 00:00:00+00:00,completed,121.01,0.00,9.08,130.09,2026-04-12 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
111,TXN-202607-000111,356,2026-07-05 00:00:00+00:00,completed,1325.65,0.00,99.42,1425.07,2026-07-05 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
112,TXN-202609-000112,192,2026-09-05 00:00:00+00:00,completed,8618.89,0.00,646.42,9265.31,2026-09-05 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
113,TXN-202601-000113,254,2026-01-20 00:00:00+00:00,completed,9877.75,0.00,740.83,10618.58,2026-01-20 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
114,TXN-202604-000114,503,2026-04-24 00:00:00+00:00,completed,602.40,0.00,45.18,647.58,2026-04-24 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
115,TXN-202608-000115,878,2026-08-15 00:00:00+00:00,completed,767.40,0.00,57.55,824.95,2026-08-15 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
116,TXN-202509-000116,510,2025-09-30 00:00:00+00:00,completed,2353.89,0.00,176.54,2530.43,2025-09-30 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
117,TXN-202607-000117,921,2026-07-15 00:00:00+00:00,completed,34351.95,0.00,2576.40,36928.35,2026-07-15 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
118,TXN-202608-000118,572,2026-08-31 00:00:00+00:00,completed,856.83,0.00,64.26,921.09,2026-08-31 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
119,TXN-202602-000119,1,2026-02-04 00:00:00+00:00,completed,39890.98,0.00,2991.82,42882.80,2026-02-04 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
120,TXN-202603-000120,915,2026-03-14 00:00:00+00:00,completed,41087.38,0.00,3081.55,44168.93,2026-03-14 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
121,TXN-202606-000121,702,2026-06-17 00:00:00+00:00,completed,37.40,0.00,2.80,40.20,2026-06-17 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
122,TXN-202606-000122,786,2026-06-06 00:00:00+00:00,completed,401.60,0.00,30.12,431.72,2026-06-06 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
123,TXN-202607-000123,636,2026-07-18 00:00:00+00:00,completed,4063.50,0.00,304.76,4368.26,2026-07-18 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
124,TXN-202604-000124,842,2026-04-26 00:00:00+00:00,refunded,1177.24,0.00,88.29,1265.53,2026-04-26 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
125,TXN-202511-000125,140,2025-11-12 00:00:00+00:00,completed,2854.71,0.00,214.10,3068.81,2025-11-12 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
126,TXN-202603-000126,1,2026-03-29 00:00:00+00:00,completed,12735.69,0.00,955.18,13690.87,2026-03-29 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
127,TXN-202606-000127,862,2026-06-27 00:00:00+00:00,completed,1056.37,0.00,79.23,1135.60,2026-06-27 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
128,TXN-202608-000128,175,2026-08-20 00:00:00+00:00,completed,10776.52,0.00,808.24,11584.76,2026-08-20 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
129,TXN-202508-000129,152,2025-08-01 00:00:00+00:00,completed,721.56,36.08,51.41,736.89,2025-08-01 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
130,TXN-202609-000130,673,2026-09-06 00:00:00+00:00,completed,1277.31,0.00,95.80,1373.11,2026-09-06 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
131,TXN-202606-000131,400,2026-06-13 00:00:00+00:00,completed,1884.07,0.00,141.31,2025.38,2026-06-13 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
132,TXN-202606-000132,946,2026-06-13 00:00:00+00:00,completed,260.79,0.00,19.56,280.35,2026-06-13 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
133,TXN-202607-000133,599,2026-07-01 00:00:00+00:00,completed,37.93,0.00,2.84,40.77,2026-07-01 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
134,TXN-202601-000134,696,2026-01-10 00:00:00+00:00,completed,6265.74,0.00,469.93,6735.67,2026-01-10 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
135,TXN-202607-000135,64,2026-07-20 00:00:00+00:00,completed,178.55,0.00,13.39,191.94,2026-07-20 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
136,TXN-202607-000136,653,2026-07-25 00:00:00+00:00,completed,1613.05,0.00,120.98,1734.03,2026-07-25 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
137,TXN-202512-000137,197,2025-12-10 00:00:00+00:00,completed,354.31,0.00,26.57,380.88,2025-12-10 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
138,TXN-202602-000138,886,2026-02-01 00:00:00+00:00,completed,678.73,0.00,50.90,729.63,2026-02-01 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
139,TXN-202602-000139,874,2026-02-24 00:00:00+00:00,completed,125.20,0.00,9.39,134.59,2026-02-24 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
140,TXN-202607-000140,616,2026-07-19 00:00:00+00:00,completed,602.40,0.00,45.18,647.58,2026-07-19 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
141,TXN-202511-000141,894,2025-11-27 00:00:00+00:00,completed,2274.25,0.00,170.57,2444.82,2025-11-27 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
142,TXN-202604-000142,960,2026-04-23 00:00:00+00:00,completed,939.32,0.00,70.45,1009.77,2026-04-23 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
143,TXN-202511-000143,900,2025-11-09 00:00:00+00:00,pending,1292.53,64.63,92.09,1319.99,2025-11-09 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
144,TXN-202602-000144,973,2026-02-11 00:00:00+00:00,completed,174.99,0.00,13.12,188.11,2026-02-11 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
145,TXN-202606-000145,359,2026-06-04 00:00:00+00:00,completed,456.99,0.00,34.27,491.26,2026-06-04 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
146,TXN-202510-000146,699,2025-10-23 00:00:00+00:00,completed,214.96,0.00,16.12,231.08,2025-10-23 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
147,TXN-202601-000147,449,2026-01-17 00:00:00+00:00,completed,408.16,0.00,30.61,438.77,2026-01-17 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
148,TXN-202606-000148,828,2026-06-19 00:00:00+00:00,completed,22920.69,0.00,1719.05,24639.74,2026-06-19 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
149,TXN-202604-000149,251,2026-04-17 00:00:00+00:00,completed,1820.27,0.00,136.52,1956.79,2026-04-17 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
150,TXN-202608-000150,376,2026-08-10 00:00:00+00:00,completed,255.80,0.00,19.18,274.98,2026-08-10 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
151,TXN-202607-000151,637,2026-07-06 00:00:00+00:00,completed,192.08,0.00,14.41,206.49,2026-07-06 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
152,TXN-202605-000152,126,2026-05-21 00:00:00+00:00,completed,375.12,0.00,28.13,403.25,2026-05-21 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
153,TXN-202605-000153,848,2026-05-24 00:00:00+00:00,completed,626.36,0.00,46.98,673.34,2026-05-24 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
154,TXN-202607-000154,54,2026-07-20 00:00:00+00:00,completed,117.39,0.00,8.80,126.19,2026-07-20 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
155,TXN-202506-000155,776,2025-06-09 00:00:00+00:00,completed,456.26,0.00,34.22,490.48,2025-06-09 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
156,TXN-202607-000156,295,2026-07-11 00:00:00+00:00,completed,555.16,0.00,41.64,596.80,2026-07-11 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
157,TXN-202603-000157,699,2026-03-03 00:00:00+00:00,completed,1205.50,0.00,90.41,1295.91,2026-03-03 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
