id,expense_date,category,description,amount,recurring,created_at,updated_at
75,2026-04-16,Utilities,"Electricity, water, heating, and broadband",905.39,True,2026-04-16 00:00:00+00:00,2026-09-24 15:51:32.521341+00:00
76,2026-04-27,Logistics,Freight carrier and last-mile delivery fees,1589.93,False,2026-04-27 00:00:00+00:00,2026-09-24 15:51:32.521341+00:00
77,2026-04-08,Marketing,"Search ads, printed flyers, local sponsorships",2063.04,False,2026-04-08 00:00:00+00:00,2026-09-24 15:51:32.521341+00:00
78,2026-04-17,Warehouse Supplies,"Pallets, packing tape, maintenance supplies",699.09,False,2026-04-17 00:00:00+00:00,2026-09-24 15:51:32.521341+00:00
79,2026-05-01,Rent,Monthly warehouse & storefront lease,4500.00,True,2026-05-01 00:00:00+00:00,2026-09-24 15:51:32.521341+00:00
80,2026-05-15,Payroll,Bi-weekly operational and warehouse payroll,9028.94,True,2026-05-15 00:00:00+00:00,2026-09-24 15:51:32.521341+00:00
81,2026-05-16,Utilities,"Electricity, water, heating, and broadband",1026.15,True,2026-05-16 00:00:00+00:00,2026-09-24 15:51:32.521341+00:00
82,2026-05-08,Logistics,Freight carrier and last-mile delivery fees,947.34,False,2026-05-08 00:00:00+00:00,2026-09-24 15:51:32.521341+00:00
83,2026-05-09,Marketing,"Search ads, printed flyers, local sponsorships",1484.31,False,2026-05-09 00:00:00+00:00,2026-09-24 15:51:32.521341+00:00
84,2026-05-20,Warehouse Supplies,"Pallets, packing tape, maintenance supplies",502.17,False,2026-05-20 00:00:00+00:00,2026-09-24 15:51:32.521341+00:00
85,2026-06-01,Rent,Monthly warehouse & storefront lease,4500.00,True,2026-06-01 00:00:00+00:00,2026-09-24 15:51:32.521341+00:00
86,2026-06-15,Payroll,Bi-weekly operational and warehouse payroll,9243.79,True,2026-06-15 00:00:00+00:00,2026-09-24 15:51:32.521341+00:00
87,2026-06-16,Utilities,"Electricity, water, heating, and broadband",1059.89,True,2026-06-16 00:00:00+00:00,2026-09-24 15:51:32.521341+00:00
88,2026-06-14,Logistics,Freight carrier and last-mile delivery fees,963.69,False,2026-06-14 00:00:00+00:00,2026-09-24 15:51:32.521341+00:00
89,2026-06-10,Marketing,"Search ads, printed flyers, local sponsorships",2087.64,False,2026-06-10 00:00:00+00:00,2026-09-24 15:51:32.521341+00:00
90,2026-06-09,Warehouse Supplies,"Pallets, packing tape, maintenance supplies",756.70,False,2026-06-09 00:00:00+00:00,2026-09-24 15:51:32.521341+00:00
91,2026-07-01,Rent,Monthly warehouse & storefront lease,4500.00,True,2026-07-01 00:00:00+00:00,2026-09-24 15:51:32.521341+00:00
92,2026-07-15,Payroll,Bi-weekly operational and warehouse payroll,9399.54,True,2026-07-15 00:00:00+00:00,2026-09-24 15:51:32.521341+00:00
93,2026-07-16,Utilities,"Electricity, water, heating, and broadband",961.19,True,2026-07-16 00:00:00+00:00,2026-09-24 15:51:32.521341+00:00
94,2026-07-08,Logistics,Freight carrier and last-mile delivery fees,1111.42,False,2026-07-08 00:00:00+00:00,2026-09-24 15:51:32.521341+00:00
95,2026-07-12,Marketing,"Search ads, printed flyers, local sponsorships",1552.95,False,2026-07-12 00:00:00+00:00,2026-09-24 15:51:32.521341+00:00
96,2026-07-06,Warehouse Supplies,"Pallets, packing tape, maintenance supplies",508.89,False,2026-07-06 00:00:00+00:00,2026-09-24 15:51:32.521341+00:00
97,2026-08-01,Rent,Monthly warehouse & storefront lease,4500.00,True,2026-08-01 00:00:00+00:00,2026-09-24 15:51:32.521341+00:00
98,2026-08-15,Payroll,Bi-weekly operational and warehouse payroll,9566.72,True,2026-08-15 00:00:00+00:00,2026-09-24 15:51:32.521341+00:00
99,2026-08-16,Utilities,"Electricity, water, heating, and broadband",1250.85,True,2026-08-16 00:00:00+00:00,2026-09-24 15:51:32.521341+00:00
100,2026-08-20,Logistics,Freight carrier and last-mile delivery fees,1804.90,False,2026-08-20 00:00:00+00:00,2026-09-24 15:51:32.521341+00:00
101,2026-08-20,Marketing,"Search ads, printed flyers, local sponsorships",1542.85,False,2026-08-20 00:00:00+00:00,2026-09-24 15:51:32.521341+00:00
102,2026-08-25,Warehouse Supplies,"Pallets, packing tape, maintenance supplies",819.31,False,2026-08-25 00:00:00+00:00,2026-09-24 15:51:32.521341+00:00
103,2026-09-01,Rent,Monthly warehouse & storefront lease,4500.00,True,2026-09-01 00:00:00+00:00,2026-09-24 15:51:32.521341+00:00
104,2026-09-15,Payroll,Bi-weekly operational and warehouse payroll,8814.96,True,2026-09-15 00:00:00+00:00,2026-09-24 15:51:32.521341+00:00
105,2026-09-16,Utilities,"Electricity, water, heating, and broadband",1201.95,True,2026-09-16 00:00:00+00:00,2026-09-24 15:51:32.521341+00:00
106,2026-09-23,Logistics,Freight carrier and last-mile delivery fees,1535.37,False,2026-09-23 00:00:00+00:00,2026-09-24 15:51:32.521341+00:00
